name,parent,value
ANGO,origin,0.152439477
ANIK,origin,0.372848312
ANIP,origin,0.505197805
ANIX,origin,0.545495294
ANNX,origin,0.509018442
ANPC,origin,0.676227021
ANSS,origin,0.386195316
ANTE,origin,0.447400242
ANTX,origin,0.766143106
ANVS,origin,0.213118636
ANY,origin,0.38505944
ANZUW,origin,1
AOA,origin,0.491628562
AOD,origin,0.569146722
AOGO,origin,0.141630901
AOGOU,origin,1
AOK,origin,0.178893235
AOM,origin,0.340051773
AOMR,origin,0.260855511
AON,origin,0.463285999
AOR,origin,0.593955602
AORT,origin,0.455451502
AOS,origin,0.711118346
AOSL,origin,0.742363295
AOTG,origin,1
AOUT,origin,0.274511403
AP,origin,0.158102767
APA,origin,0.363583983
APAC,origin,0.004804393
APAM,origin,0.635017594
APCA,origin,0.004985511
APCX,origin,0.348012314
APD,origin,0.647962517
APDN,origin,0.525690351
APE,origin,0.688977168
APEI,origin,0.371906841
APEN,origin,0.537639678
APG,origin,0.273299763
APGB,origin,0.805256246
APGB/U,origin,0.214285714
APGN,origin,0.37051167
APGNW,origin,0.285714286
APH,origin,0.613897306
API,origin,0.097086158
APLD,origin,0.618259702
APLE,origin,0.243739793
APLS,origin,0.707602396
APLT,origin,0.307476742
APM,origin,0.253150124
APMIW,origin,1
APO,origin,0.349063454
APOG,origin,0.64738648
APP,origin,0.733635909
APPF,origin,0.505531893
APPH,origin,0.486122166
APPHW,origin,0.482448844
APPN,origin,0.623066506
APPS,origin,0.557879247
APRE,origin,0.673997606
APRN,origin,0.332929033
APRT,origin,0.875782881
APRW,origin,0.232108317
APRZ,origin,0.996015936
APT,origin,0.411102318
APTMW,origin,0.84984985
APTO,origin,0.429450813
APTV,origin,0.188145167
APTVpA,origin,0.999960365
APTX,origin,0.498390578
APVO,origin,0.319838057
APWC,origin,0.465152702
AP/WS,origin,0.872093023
APYX,origin,0.209967846
AQB,origin,0.34002079
AQGX,origin,0.200253485
AQMS,origin,0.269639146
AQN,origin,0.53692395
AQNA,origin,0.348208397
AQNB,origin,0.237195023
AQNU,origin,0.041745929
AQST,origin,0.660980516
AQUA,origin,0.792855671
AQWA,origin,0.110240476
AR,origin,0.408739778
ARAV,origin,0.524867992
ARAY,origin,0.428897638
ARB,origin,0.100633357
ARBE,origin,0.42300885
ARBEW,origin,1
ARBK,origin,0.671473279
ARBKL,origin,0.283656692
ARC,origin,0.499046408
ARCB,origin,0.585455996
ARCC,origin,0.545759646
ARCE,origin,0.291729129
ARCH,origin,0.586975452
ARCO,origin,0.33297194
ARCT,origin,0.530564916
ARDC,origin,0.401487921
ARDS,origin,0.223492723
ARDX,origin,0.483780123
ARE,origin,0.6188881
AREB,origin,0.529425083
AREBW,origin,1
AREC,origin,0.079568668
AREN,origin,0.697637483
ARES,origin,0.379685054
ARGD,origin,0.237015362
ARGO,origin,0.565640864
ARGOpA,origin,0.419537815
ARGT,origin,0.717128643
ARGUW,origin,1
ARGX,origin,0.513408457
ARHS,origin,0.657106946
ARI,origin,0.452371658
ARIS,origin,0.336235601
ARKF,origin,0.42233167
ARKG,origin,0.511781052
ARKK,origin,0.530190544
ARKO,origin,0.201599825
ARKQ,origin,0.139966507
ARKR,origin,0.257735352
ARKW,origin,0.404153747
ARKX,origin,0.412233409
ARL,origin,0.709364909
ARLO,origin,0.726685414
ARLP,origin,0.340260344
ARMK,origin,0.240141202
ARMP,origin,0.507438017
ARMR,origin,0.035031847
ARNC,origin,0.50937784
AROC,origin,0.549213252
AROW,origin,0.375222816
ARQQ,origin,0.088482054
ARQQW,origin,0.002493766
ARQT,origin,0.470839323
ARR,origin,0.71371434
ARRpC,origin,0.261880429
ARRY,origin,0.627153547
ARTL,origin,0.277787322
ARTNA,origin,0.31281377
ARVL,origin,0.507017948
ARVN,origin,0.531641085
ARVR,origin,1
ARW,origin,0.581597529
ARWR,origin,0.545023037
